gender,Occupation,Work,Rest,Sleep,Exercise,Lifespan
Female,Artist,7.13,11.62,4.54,0.71,66
Female,Manager,13.51,3.71,6.08,0.7,84
Male,Freelancer,7.57,8.97,6.22,1.24,85
Female,Entrepreneur,10.17,1.84,9.1,2.89,93
Female,Healthcare Worker,9.42,9.75,3.46,1.37,82
Male,Freelancer,6.31,9.13,6.75,1.81,90
Female,Engineer,7.38,9.45,5.62,1.54,75
Male,Manager,13.57,2.9,5.13,2.41,65
Male,Scientist,8.8,6.15,7.17,1.88,89
Male,Retail Worker,9.17,5.66,8.62,0.55,74
Female,Technician,8.26,6.1,6.64,3.0,87
Female,Driver,11.56,4.56,6.07,1.8,77
Male,Healthcare Worker,18.42,0.73,4.85,0.0,48
Female,Entrepreneur,13.81,4.68,5.5,0.01,49
Male,Manager,11.02,3.68,7.78,1.52,87
Female,Teacher,6.85,8.86,7.81,0.49,100
Male,Freelancer,8.09,6.17,8.25,1.49,89
Female,Entrepreneur,11.95,1.81,7.45,2.79,88
Male,Driver,8.7,6.05,7.69,1.56,86
Female,Office Worker,9.9,6.41,7.53,0.16,90
Male,Driver,11.24,2.93,7.47,2.36,76
Male,Technician,7.91,7.14,6.6,2.36,100
Male,Retail Worker,7.18,6.22,9.75,0.86,76
Female,Entrepreneur,14.19,1.0,6.25,2.56,76
Female,Manager,9.24,5.53,8.1,1.12,84
Male,Scientist,8.26,7.32,8.41,0.0,90
Female,Artist,7.01,7.22,8.28,1.49,91
Male,Scientist,10.13,5.89,7.98,0.0,74
Male,Driver,8.21,6.39,7.43,1.96,80
Male,Healthcare Worker,8.59,9.3,6.11,0.0,90
Female,Manager,12.56,2.86,8.57,0.0,74
Female,Manual Laborer,11.75,4.01,8.17,0.07,57
Male,Entrepreneur,14.67,1.0,6.52,1.81,55
Male,Teacher,8.01,7.4,7.95,0.64,86
Female,Retail Worker,8.92,6.56,6.27,2.26,71
Male,Healthcare Worker,10.79,7.13,5.59,0.49,83
Female,Freelancer,9.38,3.65,9.95,1.03,85
Male,Healthcare Worker,11.24,6.24,5.67,0.85,73
Female,Scientist,9.59,4.76,9.64,0.0,65
Male,Manual Laborer,10.8,5.11,7.07,1.02,69
Male,Entrepreneur,13.36,1.92,6.33,2.39,75
Male,Healthcare Worker,11.48,1.0,8.87,2.65,75
Female,Teacher,7.87,4.34,9.74,2.05,78
Male,Freelancer,5.45,7.75,10.15,0.64,71
Female,Engineer,7.61,6.66,7.24,2.49,100
Male,Manual Laborer,4.9,4.39,14.54,0.17,70
Female,Artist,9.41,5.07,7.85,1.68,80
Female,Freelancer,5.26,9.59,8.29,0.87,90
Female,Freelancer,11.42,4.27,6.81,1.5,80
Female,Engineer,8.73,6.79,7.48,1.0,95
Male,Consultant,6.85,8.83,5.98,2.34,89
Male,Manager,13.68,2.95,6.5,0.86,75
Female,Engineer,8.65,4.59,8.62,2.15,87
Male,Engineer,8.08,4.46,10.57,0.89,61
Female,Entrepreneur,12.23,2.64,7.92,1.21,83
Female,Healthcare Worker,9.93,6.35,7.71,0.0,84
Male,Teacher,8.99,6.34,6.78,1.89,76
Female,Manual Laborer,10.16,6.19,6.67,0.98,83
Male,Healthcare Worker,10.15,4.45,7.66,1.74,89
Male,Manual Laborer,9.63,8.1,5.38,0.9,73
Female,Consultant,8.82,3.13,9.76,2.29,87
Male,Technician,7.64,8.02,6.84,1.5,89
Male,Technician,9.48,1.23,10.64,2.65,76
Male,Driver,10.85,3.9,7.79,1.47,79
Female,Engineer,8.34,2.7,10.29,2.67,83
Male,Engineer,7.27,6.05,8.09,2.58,75
Male,Healthcare Worker,11.58,4.8,5.75,1.87,67
Female,Engineer,7.85,3.69,10.33,2.13,77
Female,Healthcare Worker,8.01,10.33,5.66,0.0,100
Male,Entrepreneur,13.43,2.38,7.47,0.73,68
Female,Teacher,6.14,13.08,4.46,0.32,89
Female,Driver,9.8,7.56,6.23,0.4,82
Male,Healthcare Worker,9.1,8.31,5.72,0.87,80
Male,Manual Laborer,9.19,6.1,6.05,2.67,90
Male,Technician,7.38,7.6,8.31,0.72,78
Male,Entrepreneur,13.24,2.63,7.1,1.04,61
Male,Engineer,9.88,6.57,6.63,0.92,89
Male,Healthcare Worker,10.59,5.73,5.58,2.09,91
Male,Healthcare Worker,8.48,6.41,8.52,0.59,84
Female,Teacher,6.79,6.94,9.7,0.57,78
Female,Engineer,9.92,3.56,8.97,1.56,79
Female,Retail Worker,6.16,8.28,7.52,2.05,96
Female,Artist,9.92,6.28,6.65,1.16,89
Male,Technician,8.59,6.14,7.52,1.75,76
Male,Artist,7.38,11.25,5.37,0.0,87
Female,Consultant,19.68,0.58,3.75,0.0,43
Male,Healthcare Worker,10.29,4.18,6.84,2.69,75
Female,Entrepreneur,12.4,3.36,8.24,0.0,72
Female,Retail Worker,8.62,6.81,8.56,0.0,93
Female,Retail Worker,9.51,5.7,6.4,2.4,77
Female,Driver,9.02,3.62,10.36,1.0,85
Male,Office Worker,23.18,0.35,0.47,0.0,25
Male,Office Worker,8.34,6.29,6.96,2.41,84
Male,Retail Worker,6.72,11.12,6.16,0.0,85
Female,Office Worker,8.87,6.31,8.8,0.03,85
Male,Driver,10.84,3.67,7.87,1.61,74
Male,Healthcare Worker,10.76,4.05,7.3,1.89,82
Male,Freelancer,11.55,3.33,7.21,1.91,64
Male,Consultant,10.72,3.08,7.33,2.86,75
Female,Retail Worker,6.11,8.21,7.55,2.13,98
Female,Entrepreneur,10.24,1.87,9.69,2.21,77
Female,Manual Laborer,9.33,3.72,9.37,1.58,73
Male,Entrepreneur,20.06,3.69,0.24,0.0,39
Female,Manual Laborer,9.33,4.84,9.11,0.72,90
Female,Freelancer,7.43,10.34,3.79,2.45,75
Female,Retail Worker,6.4,10.05,5.9,1.65,76
Male,Manager,10.97,7.39,5.65,0.0,64
Male,Manual Laborer,8.13,5.12,8.5,2.25,84
Female,Manager,8.3,7.66,6.64,1.4,87
Male,Manager,9.68,6.31,7.45,0.56,80
Male,Healthcare Worker,11.45,3.13,7.99,1.43,65
Male,Driver,9.32,4.3,8.57,1.8,69
Male,Freelancer,6.9,11.65,5.43,0.02,92
Male,Engineer,8.68,2.79,10.17,2.35,75
Male,Teacher,8.17,5.76,7.57,2.5,98
Male,Retail Worker,6.84,9.56,5.45,2.14,97
Male,Healthcare Worker,9.77,4.51,7.08,2.64,92
Male,Freelancer,11.3,2.07,7.87,2.76,73
Male,Teacher,6.81,8.53,6.67,1.99,89
Female,Healthcare Worker,9.69,4.69,7.12,2.51,78
Female,Entrepreneur,22.51,0.66,0.83,0.0,25
Male,Technician,9.58,4.41,9.14,0.88,73
Female,Technician,6.19,1.78,15.38,0.65,55
Male,Artist,6.62,7.73,7.57,2.09,100
Male,Artist,4.13,12.3,6.27,1.3,84
Female,Healthcare Worker,8.21,5.78,9.45,0.56,79
Male,Manual Laborer,8.62,8.78,5.17,1.43,72
Female,Driver,11.04,3.1,8.36,1.5,68
Male,Freelancer,11.12,6.84,5.06,0.99,82
Female,Scientist,0.45,23.25,0.44,0.0,71
Male,Teacher,6.42,11.35,6.04,0.2,93
Female,Teacher,6.41,6.64,8.16,2.79,100
Female,Entrepreneur,14.22,1.0,6.14,2.63,74
Male,Manager,10.39,5.54,5.91,2.16,73
Female,Freelancer,9.4,6.41,8.12,0.07,79
Female,Manual Laborer,10.49,7.59,5.6,0.33,79
Female,Driver,11.71,2.31,8.39,1.58,71
Male,Consultant,7.83,6.35,6.9,2.92,100
Female,Artist,9.15,10.71,3.54,0.6,85
Male,Entrepreneur,12.5,5.27,5.39,0.85,78
Male,Manual Laborer,9.74,4.11,9.0,1.15,69
Male,Healthcare Worker,11.22,5.15,5.09,2.54,74
Male,Healthcare Worker,11.18,5.53,6.64,0.65,78
Male,Entrepreneur,10.03,4.76,8.57,0.64,62
Female,Consultant,10.58,4.27,8.02,1.12,76
Male,Scientist,7.09,7.15,8.53,1.24,85
Female,Engineer,9.33,6.85,6.96,0.86,79
Male,Freelancer,9.02,4.71,9.36,0.9,71
Female,Technician,8.67,4.6,9.36,1.37,63
Female,Manager,10.34,2.99,8.62,2.05,92
Female,Healthcare Worker,18.28,4.89,0.83,0.0,32
Female,Engineer,7.92,8.12,5.32,2.64,100
Female,Technician,9.22,6.32,8.0,0.46,100
Female,Consultant,6.92,11.59,5.08,0.4,76
Male,Consultant,8.43,6.89,7.3,1.38,72
Female,Healthcare Worker,8.51,5.35,8.86,1.28,80
Male,Driver,10.94,2.76,7.3,3.0,67
Male,Healthcare Worker,11.34,4.38,7.79,0.48,78
Female,Artist,8.94,4.88,8.6,1.58,92
Male,Technician,9.96,4.27,9.7,0.07,82
Female,Office Worker,9.38,4.69,8.32,1.61,78
Female,Engineer,9.26,7.75,6.58,0.41,80
Male,Driver,9.72,2.48,9.86,1.93,75
Male,Teacher,7.57,6.29,7.58,2.55,87
Male,Retail Worker,9.92,5.83,7.1,1.15,96
Female,Freelancer,10.38,3.89,7.88,1.85,80
Male,Entrepreneur,12.35,1.88,7.59,2.17,82
Male,Manual Laborer,10.73,6.96,6.03,0.27,76
Female,Scientist,7.79,7.97,7.32,0.91,84
Female,Office Worker,9.96,5.68,6.91,1.45,85
Female,Consultant,9.26,7.72,4.96,2.06,77
Female,Freelancer,7.41,6.37,7.88,2.35,82
Male,Retail Worker,8.95,5.72,7.12,2.21,90
Female,Technician,9.01,4.76,7.73,2.51,87
Female,Consultant,6.14,8.17,8.86,0.82,86
Female,Healthcare Worker,11.42,2.99,8.65,0.94,71
Male,Teacher,8.13,6.89,8.18,0.79,73
Male,Entrepreneur,2.37,3.33,17.56,0.73,50
Female,Consultant,7.13,8.46,5.42,3.0,84
Female,Teacher,8.86,4.95,7.18,3.0,87
Male,Freelancer,7.84,6.11,7.25,2.81,93
Male,Manual Laborer,11.54,3.5,6.6,2.36,75
Male,Office Worker,8.75,6.44,6.39,2.43,82
Female,Driver,11.23,4.98,6.31,1.48,73
Female,Driver,10.14,3.93,8.93,0.99,62
Male,Healthcare Worker,9.21,6.12,7.56,1.11,95
Male,Healthcare Worker,8.36,8.93,5.81,0.9,78
Male,Retail Worker,6.13,11.55,6.32,0.0,73
Female,Technician,9.18,8.35,5.59,0.88,92
Male,Engineer,7.64,7.86,6.43,2.06,79
Male,Manager,8.93,5.69,8.37,1.02,90
Male,Artist,9.85,9.12,3.94,1.09,85
Female,Entrepreneur,13.75,4.4,3.53,2.32,71
Male,Engineer,7.22,7.24,8.51,1.03,71
Male,Engineer,9.88,3.86,7.86,2.4,88
Female,Manager,9.64,4.52,7.84,2.0,85
Female,Driver,8.64,5.78,7.42,2.15,88
Female,Technician,9.88,5.17,7.76,1.2,81
Male,Scientist,7.82,3.18,10.0,3.0,77
Male,Driver,8.5,5.4,8.24,1.87,82
Female,Manager,11.33,4.11,8.05,0.51,74
Female,Healthcare Worker,2.61,18.36,0.03,3.0,76
Female,Retail Worker,8.12,4.98,8.16,2.74,76
Female,Manager,10.14,4.94,5.92,3.0,84
Female,Consultant,10.59,2.64,9.79,0.98,86
Male,Engineer,8.79,7.29,7.66,0.27,95
Male,Scientist,7.8,7.93,7.09,1.18,93
Male,Office Worker,8.62,5.75,7.73,1.9,80
Female,Retail Worker,8.08,4.4,9.4,2.12,75
Male,Artist,9.66,6.09,8.26,0.0,76
Female,Consultant,0.12,18.05,3.36,2.48,79
Male,Retail Worker,9.99,6.51,6.16,1.34,84
Male,Engineer,8.85,6.75,7.4,1.0,91
Male,Freelancer,6.02,7.02,8.57,2.39,72
Male,Entrepreneur,11.78,4.72,6.01,1.49,75
Male,Healthcare Worker,11.48,1.0,9.19,2.33,72
Female,Driver,8.39,6.74,8.87,0.0,76
Male,Manager,10.33,6.54,6.82,0.31,76
Female,Driver,11.06,6.04,6.85,0.05,83
Female,Consultant,7.52,8.17,6.3,2.01,90
Female,Manual Laborer,8.03,3.83,9.49,2.64,78
Male,Healthcare Worker,11.65,4.4,6.31,1.64,81
Male,Engineer,7.61,5.78,9.26,1.36,74
Male,Artist,5.59,14.54,3.22,0.65,88
Female,Engineer,8.57,6.36,7.69,1.39,78
Female,Freelancer,6.45,7.73,9.82,0.0,70
Female,Manager,9.68,8.82,3.72,1.77,88
Female,Manual Laborer,1.42,2.72,19.71,0.15,36
Female,Consultant,7.58,7.85,7.42,1.14,89
Female,Driver,9.07,8.5,5.15,1.28,69
Female,Artist,7.04,8.35,7.88,0.73,77
Male,Manager,12.74,3.25,7.4,0.61,75
Male,Manual Laborer,8.18,6.63,8.87,0.32,76
Male,Scientist,9.21,4.37,7.51,2.91,94
Male,Engineer,9.2,8.8,3.0,3.0,84
Male,Retail Worker,7.94,7.31,8.74,0.0,86
Male,Entrepreneur,13.38,4.66,4.93,1.03,64
Male,Technician,9.66,2.6,11.23,0.52,65
Male,Scientist,7.77,7.5,8.73,0.0,65
Male,Manual Laborer,23.34,0.51,0.15,0.0,25
Male,Technician,9.64,5.7,7.45,1.2,77
Female,Technician,9.18,6.29,8.17,0.37,70
Female,Consultant,11.02,5.18,6.58,1.22,81
Male,Office Worker,9.71,2.34,9.35,2.6,72
Male,Scientist,19.07,2.12,2.8,0.0,54
Male,Manual Laborer,11.82,1.0,8.18,3.0,83
Male,Manager,11.53,2.45,8.8,1.22,75
Female,Scientist,10.96,5.28,7.52,0.24,75
Female,Teacher,0.12,18.34,3.1,2.44,87
Female,Engineer,7.23,9.16,6.03,1.58,87
Female,Technician,9.31,6.78,4.91,3.0,88
Male,Retail Worker,9.88,8.75,5.04,0.33,77
Female,Artist,7.91,3.87,11.47,0.75,70
Male,Manual Laborer,8.68,3.83,9.04,2.46,74
Female,Office Worker,7.99,4.7,8.94,2.36,78
Female,Retail Worker,7.88,10.25,5.41,0.46,88
Female,Manager,2.69,18.31,1.66,1.34,67
Female,Manager,9.4,6.08,5.92,2.6,86
Female,Entrepreneur,12.5,1.0,7.78,2.72,77
Male,Retail Worker,9.23,7.0,6.89,0.88,70
Female,Engineer,20.89,2.86,0.26,0.0,29
Male,Engineer,8.94,4.72,8.83,1.51,72
Male,Technician,8.37,6.05,7.08,2.5,80
Male,Driver,9.98,4.53,7.81,1.68,81
Male,Engineer,8.9,5.92,8.44,0.75,68
Male,Driver,8.18,7.95,5.46,2.41,99
Male,Scientist,8.66,6.47,8.74,0.14,70
Male,Office Worker,7.73,7.34,7.57,1.35,88
Male,Office Worker,9.8,4.77,8.82,0.61,74
Female,Consultant,10.91,2.84,8.71,1.54,85
Male,Driver,9.91,4.43,8.83,0.83,85
Female,Consultant,11.07,3.28,8.87,0.78,82
Female,Manual Laborer,9.55,7.87,5.19,1.39,80
Female,Office Worker,7.02,10.15,6.12,0.71,92
Female,Office Worker,8.26,6.02,8.71,1.01,80
Male,Freelancer,5.99,10.6,5.85,1.55,88
Female,Consultant,10.32,6.5,5.8,1.37,82
Female,Freelancer,10.13,3.08,8.14,2.65,91
Male,Artist,4.14,9.14,8.22,2.5,100
Male,Freelancer,5.68,10.04,7.09,1.19,86
Male,Technician,8.05,7.5,7.06,1.39,72
Male,Artist,5.95,6.81,8.8,2.44,87
Female,Artist,9.61,3.19,8.32,2.89,90
Female,Technician,9.14,5.83,9.03,0.0,71
Male,Engineer,9.92,7.05,6.5,0.53,79
Male,Engineer,8.97,4.15,10.12,0.75,77
Female,Technician,8.82,6.56,6.74,1.88,67
Male,Teacher,8.5,6.6,7.67,1.24,81
Male,Engineer,8.27,6.98,6.43,2.32,81
Male,Healthcare Worker,8.38,5.45,8.5,1.67,94
Female,Office Worker,8.09,8.71,6.4,0.8,88
Male,Manual Laborer,11.41,2.01,9.39,1.19,72
Male,Freelancer,5.21,10.84,7.32,0.64,81
Female,Scientist,7.03,9.25,6.02,1.7,78
Male,Teacher,6.51,9.98,7.51,0.0,80
Female,Manual Laborer,8.64,7.99,6.99,0.38,66
Female,Artist,4.29,13.64,6.07,0.0,79
Female,Freelancer,7.59,9.2,5.41,1.8,75
Male,Healthcare Worker,8.05,10.01,4.83,1.11,80
Female,Manual Laborer,10.33,3.37,7.37,2.93,87
Female,Teacher,7.43,7.56,7.86,1.15,78
Male,Artist,7.71,5.95,10.28,0.06,75
Male,Healthcare Worker,11.43,3.38,8.57,0.62,65
Male,Manual Laborer,8.26,5.8,7.23,2.71,80
Female,Artist,6.18,9.83,6.67,1.32,99
Female,Retail Worker,9.35,5.3,6.95,2.4,76
Male,Artist,5.06,9.49,8.11,1.34,77
Male,Artist,9.87,4.06,7.06,3.0,91
Female,Freelancer,6.09,10.59,7.1,0.22,87
Male,Teacher,8.65,8.23,6.9,0.22,73
Male,Entrepreneur,14.06,1.0,7.12,1.82,67
Male,Artist,5.62,11.74,6.22,0.42,71
Male,Driver,11.59,1.19,8.23,3.0,82
Male,Driver,9.01,4.67,7.33,3.0,87
Female,Office Worker,8.37,5.76,7.21,2.66,100
Female,Entrepreneur,15.28,1.0,6.92,0.8,58
Female,Freelancer,5.68,11.17,6.13,1.01,82
Male,Office Worker,9.29,3.43,8.28,3.0,84
Female,Driver,8.83,4.73,8.79,1.65,90
Male,Teacher,7.48,4.88,9.05,2.59,79
Male,Manual Laborer,9.33,4.57,8.97,1.14,89
Male,Freelancer,8.94,3.63,10.74,0.7,83
Female,Driver,10.72,1.8,9.63,1.86,58
Male,Engineer,8.97,7.36,6.81,0.86,78
Female,Office Worker,8.02,6.74,6.81,2.43,97
Male,Consultant,6.14,6.51,9.69,1.66,82
Female,Driver,11.69,8.43,3.81,0.06,79
Female,Driver,9.15,8.59,5.98,0.27,77
Male,Driver,11.29,2.17,8.12,2.41,68
Male,Freelancer,10.97,6.04,5.52,1.47,73
Male,Manual Laborer,10.23,3.58,8.78,1.4,70
Male,Artist,7.18,9.99,6.83,0.0,91
Male,Technician,7.69,7.55,7.52,1.24,74
Male,Artist,4.16,9.88,8.43,1.53,82
Female,Consultant,11.22,6.78,4.24,1.77,77
Female,Entrepreneur,13.84,1.0,8.05,1.1,74
Male,Engineer,9.3,3.88,10.35,0.47,67
Male,Engineer,7.7,8.29,8.01,0.0,63
Female,Technician,8.9,5.76,7.48,1.86,94
Female,Artist,8.58,5.05,7.85,2.52,89
Female,Retail Worker,8.35,9.52,5.65,0.48,90
Male,Freelancer,10.23,2.13,8.93,2.72,80
Female,Driver,9.4,4.77,9.6,0.23,74
Female,Artist,7.92,6.81,8.57,0.7,78
Female,Scientist,10.38,5.19,8.05,0.38,75
Female,Office Worker,9.47,4.59,7.67,2.27,98
Male,Scientist,7.04,9.17,7.79,0.0,88
Male,Freelancer,11.51,3.66,5.83,3.0,73
Female,Retail Worker,8.42,6.92,6.92,1.73,83
Female,Retail Worker,6.54,6.68,7.78,3.0,97
Female,Technician,9.46,4.19,7.93,2.42,100
Male,Retail Worker,9.4,4.8,7.26,2.54,90
Male,Healthcare Worker,11.45,2.83,9.11,0.62,69
Male,Technician,6.02,1.55,15.64,0.79,48
Male,Scientist,7.97,5.09,8.37,2.57,86
Female,Artist,6.23,8.54,6.57,2.65,93
Male,Engineer,8.94,4.34,7.72,3.0,86
Female,Entrepreneur,13.35,1.0,9.02,0.63,75
Female,Healthcare Worker,11.08,1.84,10.9,0.18,75
Male,Scientist,9.34,5.13,8.11,1.42,84
Male,Healthcare Worker,11.66,4.23,7.32,0.79,81
Female,Technician,7.73,7.41,7.43,1.43,84
Male,Manual Laborer,10.45,5.23,6.54,1.78,80
Female,Teacher,7.15,10.39,5.43,1.03,99
Male,Scientist,7.42,8.16,6.74,1.68,80
Female,Teacher,7.39,7.91,6.32,2.38,80
Male,Freelancer,10.4,4.76,6.34,2.51,85
Male,Freelancer,9.89,4.51,7.98,1.62,83
Female,Scientist,10.75,4.03,7.68,1.54,84
Female,Technician,7.51,5.96,9.61,0.92,83
Female,Retail Worker,8.26,3.57,9.91,2.26,72
Male,Teacher,8.56,9.48,5.96,0.01,93
Female,Driver,11.85,4.54,6.85,0.77,72
Male,Manual Laborer,9.31,5.41,7.89,1.4,66
Female,Artist,5.3,11.73,6.97,0.0,92
Male,Technician,9.22,10.03,3.74,1.01,84
Female,Retail Worker,7.08,8.45,8.27,0.2,74
Female,Freelancer,11.95,3.72,6.08,2.24,80
Male,Consultant,8.52,5.12,7.69,2.67,89
Male,Retail Worker,8.27,4.03,8.7,3.0,89
Male,Engineer,8.81,9.45,5.74,0.0,77
Male,Freelancer,11.68,4.5,6.79,1.03,78
Male,Office Worker,8.19,5.44,8.04,2.34,91
Male,Entrepreneur,15.69,1.0,5.87,1.44,77
Female,Office Worker,7.91,4.99,9.14,1.96,83
Male,Manager,13.97,1.0,7.35,1.68,67
Male,Consultant,6.65,6.34,8.48,2.53,81
Male,Technician,9.1,3.47,8.42,3.0,82
Female,Technician,7.41,5.94,8.33,2.32,99
Male,Freelancer,5.43,12.73,4.44,1.4,91
Female,Scientist,10.37,7.7,5.93,0.0,72
Female,Office Worker,7.03,9.56,6.49,0.91,97
Male,Entrepreneur,13.03,4.69,5.92,0.36,75
Female,Office Worker,8.83,6.79,6.29,2.09,85
Female,Technician,9.95,4.56,9.09,0.39,76
Male,Entrepreneur,13.1,2.42,7.2,1.28,64
Female,Entrepreneur,11.61,3.97,7.16,1.26,82
Male,Engineer,9.88,4.8,7.11,2.21,88
Male,Consultant,8.14,6.78,7.97,1.11,65
Female,Manager,12.5,3.49,5.93,2.08,80
Female,Retail Worker,7.99,6.44,7.34,2.23,97
Male,Consultant,10.78,7.17,5.15,0.91,70
Female,Technician,9.69,7.88,6.27,0.16,91
Female,Scientist,8.58,10.1,3.0,2.32,88
Female,Driver,9.5,4.5,8.61,1.38,74
Female,Teacher,6.85,11.22,5.62,0.31,83
Male,Artist,5.22,9.33,9.45,0.0,69
Male,Healthcare Worker,9.5,4.13,7.64,2.74,82
Male,Freelancer,9.42,8.36,4.38,1.84,88
Male,Healthcare Worker,10.05,4.78,7.68,1.48,71
Female,Manager,14.0,1.0,7.99,1.01,69
Male,Teacher,7.64,7.76,6.11,2.49,74
Male,Engineer,7.53,5.59,9.74,1.14,80
Male,Engineer,7.27,8.8,7.39,0.54,73
Female,Healthcare Worker,10.84,2.33,8.97,1.86,91
Female,Engineer,7.09,7.33,8.11,1.46,80
